P_G,Q_G,P_L,Q_L,r_line,x_line,P_line,Q_line,V
"[0.7413176729728628, 0.1558423989088627]","[-0.5393744986753668, -0.055273619942667385]",[0.31410847 0.46050533 0.3965028 ],[0.23526525 0.28345658 0.11163024],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.14305078426696127, 0.31688637868683145, 0.17381492169187093]","[0.6042948289996275, 0.38561830634989747, -0.2186326619814349]","[1.0, 0.9998310457358421, 0.9998639851072406]"
"[0.5144026252238996, 0.5012892888448581]","[0.142956651191365, -0.6869290689459713]",[0.34890315 0.19435514 0.12289708],[0.47970274 0.46760329 0.15527903],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[-0.08945814254934703, -0.1088883159670786, -0.019442559586409964]","[0.49724350064934697, 0.6697977098169758, 0.17253304611251755]","[1.0, 0.9998868749648734, 0.9998461677675838]"
"[0.7503843742426687, 0.6532563462464536]","[0.45420329418944216, -0.7078863542877317]",[0.3705511  0.20965476 0.25734919],[0.36192412 0.45296883 0.35837135],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[-0.24242548693337085, -0.19410426746890153, 0.04828105251494069]","[0.3546777495080278, 0.7105595202228869, 0.35586607011138277]","[1.0, 0.9999416392551271, 0.9998466325867875]"
"[0.40121416023892337, 0.2259064986447305]","[0.6152749040030017, -0.1869908355674162]",[0.33959856 0.1517661  0.12529934],[0.46994564 0.47299183 0.19235407],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.05016966856032923, 0.0997861660689523, 0.04961728848601484]","[0.031599612231730134, 0.20548431356928631, 0.17388181086999455]","[1.0, 0.9999858289252878, 0.9999361556511221]"
"[0.2653265670540771, 0.638793585028174]","[0.2912206832405059, -0.5531636519519224]",[0.35815611 0.47045599 0.44004626],[0.45226875 0.28323726 0.32179388],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.3205484618645187, 0.18591631444610357, -0.13460406232307437]","[0.28639177102240865, 0.5807476772874907, 0.2943290059106824]","[1.0, 0.9998883344825567, 0.9998315738824103]"
"[0.059979307603837996, 0.2879949848422591]","[-0.20770579505049952, -0.8695979102775977]",[0.12947879 0.34325774 0.41321371],[0.28354589 0.18303886 0.13662034],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.4806837776827706, 0.4279954398280097, -0.05266795016153736]","[0.5960592515607459, 0.8012677652254752, 0.2051680104419334]","[1.0, 0.9997909007576968, 0.9997461836521163]"
"[0.6592970554762937, 0.11501934840921264]","[0.6591337945586878, -0.6299295264733715]",[0.21701961 0.29855459 0.41871721],[0.10280457 0.29313426 0.34503029],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.11076590417451371, 0.33227161994295784, 0.22150601237393638]","[0.0810368618854227, 0.5280876818401339, 0.44703168325307774]","[1.0, 0.9999658952007215, 0.999826444272542]"
"[0.04249536966414115, 0.07593426848577216]","[0.3312659883318458, -0.5371032976093122]",[0.17584296 0.46837706 0.47737211],[0.13032587 0.22286475 0.44896886],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.6678329786973336, 0.6596698627724891, -0.008112691096113584]","[0.2565704941662261, 0.6214670356384886, 0.3648437759054153]","[1.0, 0.9998523873527068, 0.9997621783140419]"
"[0.4498028500947826, 0.1959790492586729]","[-0.7466789356703794, 0.6092335431378186]",[0.15398696 0.25112085 0.13313481],[0.27921031 0.3210614  0.1489984 ],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.09664132254215474, 0.14190810000536658, 0.045283165600541846]","[0.5585188407321766, 0.04913768343431002, -0.5093018125127118]","[1.0, 0.9998482911668252, 0.9999699774969193]"
"[0.052962256804253496, 0.17243563640826223]","[-0.25371997147173203, 0.9674037560839894]",[0.17630223 0.17617543 0.19212735],[0.45660931 0.20729268 0.29101856],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.33872102890927636, 0.3042397644424, -0.03450732021167967]","[0.08193622481712737, -0.29719694998539126, -0.3791067893456094]","[1.0, 0.9999371785858812, 1.000036275674911]"
